|    x     |    x     |    y     |    y     |opcod| S |    z     |    z     |EQ |OF |
| 01010010 |       82 | 10100101 |      165 | 000 | 0 | 00000000 |        0 | 0 | 0 |
| 10011011 |      155 | 10101110 |      174 | 001 | 0 | 10001010 |      138 | 0 | 0 |
| 01010010 |       82 | 10010101 |      149 | 010 | 0 | 11010111 |      215 | 0 | 0 |
| 10011010 |      154 | 10010110 |      150 | 011 | 0 | 00001100 |       12 | 0 | 0 |
| 01100110 |      102 | 00100010 |       34 | 100 | 0 | 10001000 |      136 | 0 | 0 |
| 10001100 |      140 | 10011011 |      155 | 100 | 0 | 00100111 |       39 | 0 | 1 |
| 01111101 |      125 | 11100000 |      224 | 100 | 1 | 01011101 |       93 | 0 | 0 |
| 10011100 |      156 | 10011100 |      156 | 100 | 1 | 00111000 |       56 | 1 | 1 |
| 11010010 |      210 | 01100101 |      101 | 101 | 0 | 01101101 |      109 | 0 | 0 |
| 01011101 |       93 | 11011110 |      222 | 101 | 1 | 01111111 |      127 | 0 | 0 |
| 01000001 |       65 | 10011100 |      156 | 101 | 1 | 10100101 |      165 | 0 | 1 |
| 00001110 |       14 | 00010000 |       16 | 110 | 0 | 11100000 |      224 | 0 | 0 |
| 00110111 |       55 | 00110111 |       55 | 110 | 0 | 11010001 |      209 | 1 | 1 |
| 00111111 |       63 | 11111110 |      254 | 111 | 1 | 10000010 |      130 | 0 | 0 |
| 11010011 |      211 | 11100101 |      229 | 111 | 1 | 10111111 |      191 | 0 | 1 |
