|        x         |        y         |zx |nx |zy |ny | f |no |       out        |zr |ng |
| 1010101000101010 | 1010101000101010 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 1010101000101010 | 1010101000001010 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 1010101000101010 | 1010100000101010 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 1010010100101001 | 1010100000101010 | 0 | 0 | 1 | 1 | 0 | 0 | 1010010100101001 | 0 | 1 |
| 0010001100100001 | 0101000100100101 | 1 | 1 | 0 | 0 | 0 | 0 | 0101000100100101 | 0 | 0 |
| 0010010100100101 | 0101010101011101 | 0 | 0 | 1 | 1 | 0 | 1 | 1101101011011010 | 0 | 1 |
| 0010010100100101 | 0101010101011101 | 1 | 1 | 0 | 0 | 0 | 1 | 1010101010100010 | 0 | 1 |
| 0101001010000101 | 0101010100100000 | 0 | 0 | 1 | 1 | 1 | 1 | 1010110101111011 | 0 | 1 |
| 0101001010000101 | 0101010100100000 | 1 | 1 | 0 | 0 | 1 | 1 | 1010101011100000 | 0 | 1 |
| 0101010101011101 | 1010100000101010 | 0 | 1 | 1 | 1 | 1 | 1 | 0101010101011110 | 0 | 0 |
| 0101011001011101 | 1000101001010010 | 1 | 1 | 0 | 1 | 1 | 1 | 1000101001010011 | 0 | 1 |
| 1010000101010001 | 0101010101011101 | 0 | 0 | 1 | 1 | 1 | 0 | 1010000101010000 | 0 | 1 |
| 0101010100100000 | 0101000100101010 | 1 | 1 | 0 | 0 | 1 | 0 | 0101000100101001 | 0 | 0 |
| 1111110000011000 | 1101000100100000 | 0 | 0 | 0 | 0 | 1 | 0 | 1100110100111000 | 0 | 1 |
| 0101010100010010 | 0101010100010010 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000000000 | 1 | 0 |
| 1100010101101000 | 0011010010010000 | 0 | 0 | 0 | 1 | 1 | 1 | 0110111100101000 | 0 | 0 |
| 1010000101010001 | 0101011001011101 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000001010001 | 0 | 0 |
| 0100101010100101 | 0100010101010111 | 0 | 1 | 0 | 1 | 0 | 1 | 0100111111110111 | 0 | 0 |
