|   x0   |   x1   |   x2   |   x3   |  s1   |  s0   |   y    |
|   00   |   00   |   00   |   00   |   0   |   0   |   00   |
|   01   |   00   |   00   |   00   |   0   |   0   |   01   |
|   10   |   00   |   00   |   00   |   0   |   0   |   10   |
|   11   |   00   |   00   |   00   |   0   |   0   |   11   |
|   00   |   00   |   00   |   00   |   0   |   1   |   00   |
|   00   |   01   |   00   |   00   |   0   |   1   |   01   |
|   00   |   10   |   00   |   00   |   0   |   1   |   10   |
|   00   |   11   |   00   |   00   |   0   |   1   |   11   |
|   00   |   00   |   00   |   00   |   1   |   0   |   00   |
|   00   |   00   |   01   |   00   |   1   |   0   |   01   |
|   00   |   00   |   10   |   00   |   1   |   0   |   10   |
|   00   |   00   |   11   |   00   |   1   |   0   |   11   |
|   00   |   00   |   00   |   00   |   1   |   1   |   00   |
|   00   |   00   |   00   |   01   |   1   |   1   |   01   |
|   00   |   00   |   00   |   10   |   1   |   1   |   10   |
|   00   |   00   |   00   |   11   |   1   |   1   |   11   |
