| a | b | c | d | e | f | g | h | out |
| 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 111 |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 110 |
| 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 110 |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 101 |
| 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 101 |
| 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 100 |
| 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 100 |
| 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 100 |
| 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 100 |
| 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 011 |
| 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 011 |
| 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 011 |
| 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 011 |
| 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 010 |
| 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 010 |
| 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 010 |
| 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 010 |
| 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 010 |
| 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 010 |
| 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 010 |
| 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 010 |
| 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 010 |
| 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 010 |
| 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 010 |
| 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 001 |
| 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 001 |
| 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 001 |
| 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 001 |
| 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 001 |
| 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 001 |
| 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 001 |
| 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 000 |
| 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 000 |
| 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 000 |
| 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 000 |
| 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 000 |
| 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 000 |
| 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 000 |
| 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 000 |
| 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 000 |
