| S |        x         |        y         |c0 |       out        |OF |
| 0 | 0100111111010000 | 0010100001101001 | 0 | 0111100000111001 | 0 |
| 0 | 1001110001000000 | 0111010100110000 | 0 | 0001000101110000 | 1 |
| 0 | 1001110001000000 | 0111010100110000 | 1 | 0010011100010000 | 0 |
| 1 | 0000000011011100 | 0000000101000000 | 0 | 0000001000011100 | 0 |
| 1 | 0101110111000000 | 0011001011001000 | 0 | 1001000010001000 | 1 |
| 1 | 1111110000011000 | 1101000100100000 | 0 | 1100110100111000 | 0 |
| 1 | 1101100011110000 | 1000111010111000 | 0 | 0110011110101000 | 1 |
| 1 | 0011000000111001 | 1101100011110000 | 0 | 0000100100101001 | 0 |
| 1 | 0011010010010000 | 1100010101101000 | 1 | 0110111100101000 | 0 |
| 1 | 0100100000011000 | 1011110110011000 | 1 | 1000101010000000 | 1 |
